Date,State,Category,Dollars,LastYear
2020-11-08,Arkansas,Alcohol,6272233,5558030
2020-11-15,Arkansas,Alcohol,6365336,5135309
2020-11-22,Arkansas,Alcohol,6478933,5428775
2020-11-29,Arkansas,Alcohol,7039471,6427238
2020-12-06,Arkansas,Alcohol,5738065,5129329
2020-12-13,Arkansas,Alcohol,6092484,5340312
2020-12-20,Arkansas,Alcohol,6198517,5736877
2020-12-27,Arkansas,Alcohol,7131856,6207965
2021-01-03,Arkansas,Alcohol,6817140,5806976
2021-01-10,Arkansas,Alcohol,5624834,4815712
2021-01-17,Arkansas,Alcohol,5886755,4845359
2021-01-24,Arkansas,Alcohol,5808593,4781707
2021-01-31,Arkansas,Alcohol,5873777,5199091
2021-02-07,Arkansas,Alcohol,6030149,4921248
2021-02-14,Arkansas,Alcohol,6260235,5307142
2021-02-21,Arkansas,Alcohol,6237638,5116937
2021-02-28,Arkansas,Alcohol,6133344,5438993
2021-03-07,Arkansas,Alcohol,6175761,5619156
2021-03-14,Arkansas,Alcohol,6528008,6281939
2021-03-21,Arkansas,Alcohol,6697358,6691361
2021-03-28,Arkansas,Alcohol,6549619,6104471
2021-04-04,Arkansas,Alcohol,6860297,6566715
2021-04-11,Arkansas,Alcohol,6730297,6677584
2021-04-18,Arkansas,Alcohol,6441417,6601558
2021-04-25,Arkansas,Alcohol,6261847,6963766
2021-05-02,Arkansas,Alcohol,6823425,7451359
2021-05-09,Arkansas,Alcohol,6894472,7473827
2021-05-16,Arkansas,Alcohol,6699034,6953465
2021-05-23,Arkansas,Alcohol,6867824,7883614
2021-05-30,Arkansas,Alcohol,7778925,7175903
2021-06-06,Arkansas,Alcohol,7109234,7477401
2021-06-13,Arkansas,Alcohol,6763709,7450250
2021-06-20,Arkansas,Alcohol,7439015,7393494
2021-06-27,Arkansas,Alcohol,7268079,7038618
2021-07-04,Arkansas,Alcohol,8260348,8419023
2021-07-11,Arkansas,Alcohol,7465420,6826501
2021-07-18,Arkansas,Alcohol,7268200,7011473
2021-07-25,Arkansas,Alcohol,7489727,6936566
2021-08-01,Arkansas,Alcohol,6513073,6704968
2021-08-08,Arkansas,Alcohol,6254754,6856741
2021-08-15,Arkansas,Alcohol,6588197,6623243
2021-08-22,Arkansas,Alcohol,6425804,6802843
2019-10-06,California,Alcohol,146609185,140911324
2019-10-13,California,Alcohol,146122443,136210028
2019-10-20,California,Alcohol,144265080,140457433
2019-10-27,California,Alcohol,151820824,146398017
2019-11-03,California,Alcohol,151656022,144780150
2019-11-10,California,Alcohol,144668814,139789617
2019-11-17,California,Alcohol,144524924,156916713
2019-11-24,California,Alcohol,163549694,184364469
2019-12-01,California,Alcohol,183655260,131411836
2019-12-08,California,Alcohol,137123612,137827563
2019-12-15,California,Alcohol,153006107,152591751
2019-12-22,California,Alcohol,199527413,200937815
2019-12-29,California,Alcohol,199046326,185960242
2020-01-05,California,Alcohol,150932691,140368896
2020-01-12,California,Alcohol,124129436,120497526
2020-01-19,California,Alcohol,132568527,126809404
2020-01-26,California,Alcohol,130740886,127126314
2020-02-02,California,Alcohol,151149157,143095375
2020-02-09,California,Alcohol,134057962,126658535
2020-02-16,California,Alcohol,144998797,134796170
2020-02-23,California,Alcohol,136714716,127256301
2020-03-01,California,Alcohol,139688321,131030026
2020-03-08,California,Alcohol,143632711,127396294
2020-03-15,California,Alcohol,183534048,140581339
